GLOBALTIME -> ID  -- Machines Assigned
       720 -> 55 -- Machine_8 (S: 0 , CT: 7694) 
       720 -> 87 -- Machine_9 (S: 0 , CT: 7330) 
       720 -> 57 -- Machine_10 (S: 0 , CT: 9305) 
       720 -> 29 -- Machine_11 (S: 0 , CT: 8014) 
       720 -> 59 -- Machine_12 (S: 0 , CT: 7494) 
       720 -> 18 -- Machine_13 (S: 0 , CT: 8413) 
       720 -> 97 -- Machine_14 (S: 0 , CT: 7273) 
       720 -> 38 -- Machine_15 (S: 0 , CT: 7427) 
       720 -> 15 -- Machine_16 (S: 0 , CT: 7765) 
       720 -> 75 -- Machine_17 (S: 0 , CT: 8296) 
       720 -> 17 -- Machine_18 (S: 0 , CT: 8710) 
       720 -> 8 -- Machine_19 (S: 0 , CT: 7824) 
       720 -> 99 -- Machine_20 (S: 0 , CT: 7782) 
       720 -> 56 -- Machine_21 (S: 0 , CT: 7919) 
       720 -> 23 -- Machine_22 (S: 0 , CT: 7813) 
       720 -> 10 -- Machine_23 (S: 0 , CT: 7971) 
       720 -> 36 -- Machine_24 (S: 0 , CT: 8354) 
GLOBALTIME -> ID  -- Machines Assigned
       780 -> 91 -- Machine_0 (S: 0 , CT: 8910) 
       780 -> 92 -- Machine_1 (S: 0 , CT: 8065) 
       780 -> 95 -- Machine_2 (S: 0 , CT: 8204) 
       780 -> 98 -- Machine_3 (S: 0 , CT: 8034) 
       780 -> 73 -- Machine_4 (S: 0 , CT: 7835) 
       780 -> 32 -- Machine_5 (S: 0 , CT: 8559) 
       780 -> 58 -- Machine_6 (S: 0 , CT: 7962) 
       780 -> 71 -- Machine_7 (S: 0 , CT: 8132) 
       780 -> 55 -- Machine_8 (S: 0 , CT: 7694) 
       780 -> 87 -- Machine_9 (S: 0 , CT: 7330) 
       780 -> 57 -- Machine_10 (S: 0 , CT: 9305) 
       780 -> 29 -- Machine_11 (S: 0 , CT: 8014) 
       780 -> 59 -- Machine_12 (S: 0 , CT: 7494) 
       780 -> 18 -- Machine_13 (S: 0 , CT: 8413) 
       780 -> 97 -- Machine_14 (S: 0 , CT: 7273) 
       780 -> 38 -- Machine_15 (S: 0 , CT: 7427) 
       780 -> 15 -- Machine_16 (S: 0 , CT: 7765) 
       780 -> 75 -- Machine_17 (S: 0 , CT: 8296) 
       780 -> 17 -- Machine_18 (S: 0 , CT: 8710) 
       780 -> 8 -- Machine_19 (S: 0 , CT: 7824) 
       780 -> 99 -- Machine_20 (S: 0 , CT: 7782) 
       780 -> 56 -- Machine_21 (S: 0 , CT: 7919) 
       780 -> 23 -- Machine_22 (S: 0 , CT: 7813) 
       780 -> 10 -- Machine_23 (S: 0 , CT: 7971) 
       780 -> 36 -- Machine_24 (S: 0 , CT: 8354) 
GLOBALTIME -> ID  -- Machines Assigned
       840 -> 91 -- Machine_0 (S: 0 , CT: 8910) 
       840 -> 92 -- Machine_1 (S: 0 , CT: 8065) 
       840 -> 95 -- Machine_2 (S: 0 , CT: 8204) 
       840 -> 98 -- Machine_3 (S: 0 , CT: 8034) 
       840 -> 73 -- Machine_4 (S: 0 , CT: 7835) 
       840 -> 32 -- Machine_5 (S: 0 , CT: 8559) 
       840 -> 58 -- Machine_6 (S: 0 , CT: 7962) 
       840 -> 71 -- Machine_7 (S: 0 , CT: 8132) 
       840 -> 55 -- Machine_8 (S: 0 , CT: 7694) 
       840 -> 87 -- Machine_9 (S: 0 , CT: 7330) 
       840 -> 57 -- Machine_10 (S: 0 , CT: 9305) 
       840 -> 29 -- Machine_11 (S: 0 , CT: 8014) 
       840 -> 59 -- Machine_12 (S: 0 , CT: 7494) 
       840 -> 18 -- Machine_13 (S: 0 , CT: 8413) 
       840 -> 97 -- Machine_14 (S: 0 , CT: 7273) 
       840 -> 38 -- Machine_15 (S: 0 , CT: 7427) 
       840 -> 15 -- Machine_16 (S: 0 , CT: 7765) 
       840 -> 75 -- Machine_17 (S: 0 , CT: 8296) 
       840 -> 17 -- Machine_18 (S: 0 , CT: 8710) 
       840 -> 8 -- Machine_19 (S: 0 , CT: 7824) 
       840 -> 99 -- Machine_20 (S: 0 , CT: 7782) 
       840 -> 56 -- Machine_21 (S: 0 , CT: 7919) 
       840 -> 23 -- Machine_22 (S: 0 , CT: 7813) 
       840 -> 10 -- Machine_23 (S: 0 , CT: 7971) 
       840 -> 36 -- Machine_24 (S: 0 , CT: 8354) 
GLOBALTIME -> ID  -- Machines Assigned
       900 -> 91 -- Machine_0 (S: 0 , CT: 8910) 
       900 -> 92 -- Machine_1 (S: 0 , CT: 8065) 
       900 -> 95 -- Machine_2 (S: 0 , CT: 8204) 
       900 -> 98 -- Machine_3 (S: 0 , CT: 8034) 
       900 -> 73 -- Machine_4 (S: 0 , CT: 7835) 
       900 -> 32 -- Machine_5 (S: 0 , CT: 8559) 
       900 -> 58 -- Machine_6 (S: 0 , CT: 7962) 
       900 -> 71 -- Machine_7 (S: 0 , CT: 8132) 
       900 -> 55 -- Machine_8 (S: 0 , CT: 7694) 
       900 -> 87 -- Machine_9 (S: 0 , CT: 7330) 
       900 -> 57 -- Machine_10 (S: 0 , CT: 9305) 
       900 -> 29 -- Machine_11 (S: 0 , CT: 8014) 
       900 -> 59 -- Machine_12 (S: 0 , CT: 7494) 
       900 -> 18 -- Machine_13 (S: 0 , CT: 8413) 
       900 -> 97 -- Machine_14 (S: 0 , CT: 7273) 
       900 -> 38 -- Machine_15 (S: 0 , CT: 7427) 
       900 -> 15 -- Machine_16 (S: 0 , CT: 7765) 
       900 -> 75 -- Machine_17 (S: 0 , CT: 8296) 
       900 -> 17 -- Machine_18 (S: 0 , CT: 8710) 
       900 -> 8 -- Machine_19 (S: 0 , CT: 7824) 
       900 -> 99 -- Machine_20 (S: 0 , CT: 7782) 
       900 -> 56 -- Machine_21 (S: 0 , CT: 7919) 
       900 -> 23 -- Machine_22 (S: 0 , CT: 7813) 
       900 -> 10 -- Machine_23 (S: 0 , CT: 7971) 
       900 -> 36 -- Machine_24 (S: 0 , CT: 8354) 
GLOBALTIME -> ID  -- Machines Assigned
       960 -> 91 -- Machine_0 (S: 0 , CT: 8910) 
       960 -> 92 -- Machine_1 (S: 0 , CT: 8065) 
       960 -> 95 -- Machine_2 (S: 0 , CT: 8204) 
       960 -> 98 -- Machine_3 (S: 0 , CT: 8034) 
       960 -> 73 -- Machine_4 (S: 0 , CT: 7835) 
       960 -> 32 -- Machine_5 (S: 0 , CT: 8559) 
       960 -> 58 -- Machine_6 (S: 0 , CT: 7962) 
       960 -> 71 -- Machine_7 (S: 0 , CT: 8132) 
       960 -> 55 -- Machine_8 (S: 0 , CT: 7694) 
       960 -> 87 -- Machine_9 (S: 0 , CT: 7330) 
       960 -> 57 -- Machine_10 (S: 0 , CT: 9305) 
       960 -> 29 -- Machine_11 (S: 0 , CT: 8014) 
       960 -> 59 -- Machine_12 (S: 0 , CT: 7494) 
       960 -> 18 -- Machine_13 (S: 0 , CT: 8413) 
       960 -> 97 -- Machine_14 (S: 0 , CT: 7273) 
       960 -> 38 -- Machine_15 (S: 0 , CT: 7427) 
       960 -> 15 -- Machine_16 (S: 0 , CT: 7765) 
       960 -> 75 -- Machine_17 (S: 0 , CT: 8296) 
       960 -> 17 -- Machine_18 (S: 0 , CT: 8710) 
       960 -> 8 -- Machine_19 (S: 0 , CT: 7824) 
       960 -> 99 -- Machine_20 (S: 0 , CT: 7782) 
       960 -> 56 -- Machine_21 (S: 0 , CT: 7919) 
