GLOBALTIME -> ID  -- Machines Assigned
       660 -> 97 -- Machine_21 (S: 0 , CT: 7748) 
       660 -> 36 -- Machine_22 (S: 0 , CT: 8563) 
       660 -> 79 -- Machine_23 (S: 0 , CT: 8420) 
       660 -> 33 -- Machine_24 (S: 0 , CT: 8614) 
GLOBALTIME -> ID  -- Machines Assigned
       720 -> 58 -- Machine_0 (S: 0 , CT: 8173) 
       720 -> 98 -- Machine_1 (S: 0 , CT: 8307) 
       720 -> 55 -- Machine_2 (S: 0 , CT: 7860) 
       720 -> 91 -- Machine_3 (S: 0 , CT: 8192) 
       720 -> 68 -- Machine_4 (S: 0 , CT: 8016) 
       720 -> 72 -- Machine_5 (S: 0 , CT: 8533) 
       720 -> 57 -- Machine_6 (S: 0 , CT: 7777) 
       720 -> 92 -- Machine_7 (S: 0 , CT: 7996) 
       720 -> 59 -- Machine_8 (S: 0 , CT: 7657) 
       720 -> 87 -- Machine_9 (S: 0 , CT: 7005) 
       720 -> 27 -- Machine_10 (S: 0 , CT: 8750) 
       720 -> 95 -- Machine_11 (S: 0 , CT: 7890) 
       720 -> 99 -- Machine_12 (S: 0 , CT: 7935) 
       720 -> 73 -- Machine_13 (S: 0 , CT: 8394) 
       720 -> 30 -- Machine_14 (S: 0 , CT: 7504) 
       720 -> 37 -- Machine_15 (S: 0 , CT: 7883) 
       720 -> 54 -- Machine_16 (S: 0 , CT: 7912) 
       720 -> 15 -- Machine_17 (S: 0 , CT: 8719) 
       720 -> 18 -- Machine_18 (S: 0 , CT: 8809) 
       720 -> 75 -- Machine_19 (S: 0 , CT: 8105) 
       720 -> 56 -- Machine_20 (S: 0 , CT: 7929) 
       720 -> 97 -- Machine_21 (S: 0 , CT: 7748) 
       720 -> 36 -- Machine_22 (S: 0 , CT: 8563) 
       720 -> 79 -- Machine_23 (S: 0 , CT: 8420) 
       720 -> 33 -- Machine_24 (S: 0 , CT: 8614) 
GLOBALTIME -> ID  -- Machines Assigned
       780 -> 58 -- Machine_0 (S: 0 , CT: 8173) 
       780 -> 98 -- Machine_1 (S: 0 , CT: 8307) 
