GLOBALTIME -> ID  -- Machines Assigned
       600 -> 35 -- Machine_16 (S: 0 , CT: 7350) 
       600 -> 38 -- Machine_17 (S: 0 , CT: 8371) 
       600 -> 15 -- Machine_18 (S: 0 , CT: 8599) 
       600 -> 17 -- Machine_19 (S: 0 , CT: 7667) 
       600 -> 92 -- Machine_20 (S: 0 , CT: 8275) 
       600 -> 75 -- Machine_21 (S: 0 , CT: 8247) 
       600 -> 45 -- Machine_22 (S: 0 , CT: 8406) 
       600 -> 8 -- Machine_23 (S: 0 , CT: 8107) 
       600 -> 99 -- Machine_24 (S: 0 , CT: 8587) 
GLOBALTIME -> ID  -- Machines Assigned
       660 -> 79 -- Machine_0 (S: 0 , CT: 8433) 
       660 -> 98 -- Machine_1 (S: 0 , CT: 8399) 
       660 -> 74 -- Machine_2 (S: 0 , CT: 7582) 
       660 -> 76 -- Machine_3 (S: 0 , CT: 8272) 
       660 -> 54 -- Machine_4 (S: 0 , CT: 8257) 
       660 -> 77 -- Machine_5 (S: 0 , CT: 9013) 
       660 -> 56 -- Machine_6 (S: 0 , CT: 7571) 
       660 -> 32 -- Machine_7 (S: 0 , CT: 8534) 
       660 -> 68 -- Machine_8 (S: 0 , CT: 7432) 
       660 -> 91 -- Machine_9 (S: 0 , CT: 7388) 
       660 -> 57 -- Machine_10 (S: 0 , CT: 8472) 
       660 -> 71 -- Machine_11 (S: 0 , CT: 7813) 
       660 -> 87 -- Machine_12 (S: 0 , CT: 7815) 
       660 -> 73 -- Machine_13 (S: 0 , CT: 8602) 
       660 -> 14 -- Machine_14 (S: 0 , CT: 7011) 
       660 -> 94 -- Machine_15 (S: 0 , CT: 7752) 
       660 -> 35 -- Machine_16 (S: 0 , CT: 7350) 
       660 -> 38 -- Machine_17 (S: 0 , CT: 8371) 
       660 -> 15 -- Machine_18 (S: 0 , CT: 8599) 
       660 -> 17 -- Machine_19 (S: 0 , CT: 7667) 
       660 -> 92 -- Machine_20 (S: 0 , CT: 8275) 
       660 -> 75 -- Machine_21 (S: 0 , CT: 8247) 
       660 -> 45 -- Machine_22 (S: 0 , CT: 8406) 
       660 -> 8 -- Machine_23 (S: 0 , CT: 8107) 
       660 -> 99 -- Machine_24 (S: 0 , CT: 8587) 
GLOBALTIME -> ID  -- Machines Assigned
       720 -> 79 -- Machine_0 (S: 0 , CT: 8433) 
       720 -> 98 -- Machine_1 (S: 0 , CT: 8399) 
       720 -> 74 -- Machine_2 (S: 0 , CT: 7582) 
       720 -> 76 -- Machine_3 (S: 0 , CT: 8272) 
       720 -> 54 -- Machine_4 (S: 0 , CT: 8257) 
       720 -> 77 -- Machine_5 (S: 0 , CT: 9013) 
       720 -> 56 -- Machine_6 (S: 0 , CT: 7571) 
       720 -> 32 -- Machine_7 (S: 0 , CT: 8534) 
       720 -> 68 -- Machine_8 (S: 0 , CT: 7432) 
       720 -> 91 -- Machine_9 (S: 0 , CT: 7388) 
       720 -> 57 -- Machine_10 (S: 0 , CT: 8472) 
       720 -> 71 -- Machine_11 (S: 0 , CT: 7813) 
       720 -> 87 -- Machine_12 (S: 0 , CT: 7815) 
       720 -> 73 -- Machine_13 (S: 0 , CT: 8602) 
       720 -> 14 -- Machine_14 (S: 0 , CT: 7011) 
       720 -> 94 -- Machine_15 (S: 0 , CT: 7752) 
       720 -> 35 -- Machine_16 (S: 0 , CT: 7350) 
       720 -> 38 -- Machine_17 (S: 0 , CT: 8371) 
       720 -> 15 -- Machine_18 (S: 0 , CT: 8599) 
       720 -> 17 -- Machine_19 (S: 0 , CT: 7667) 
       720 -> 92 -- Machine_20 (S: 0 , CT: 8275) 
       720 -> 75 -- Machine_21 (S: 0 , CT: 8247) 
       720 -> 45 -- Machine_22 (S: 0 , CT: 8406) 
       720 -> 8 -- Machine_23 (S: 0 , CT: 8107) 
       720 -> 99 -- Machine_24 (S: 0 , CT: 8587) 
GLOBALTIME -> ID  -- Machines Assigned
       780 -> 79 -- Machine_0 (S: 0 , CT: 8433) 
       780 -> 98 -- Machine_1 (S: 0 , CT: 8399) 
       780 -> 74 -- Machine_2 (S: 0 , CT: 7582) 
       780 -> 76 -- Machine_3 (S: 0 , CT: 8272) 
       780 -> 54 -- Machine_4 (S: 0 , CT: 8257) 
