GLOBALTIME -> ID  -- Machines Assigned
       900 -> 55 -- Machine_5 (S: 0 , CT: 8392) 
       900 -> 87 -- Machine_6 (S: 0 , CT: 7589) 
       900 -> 72 -- Machine_7 (S: 0 , CT: 8130) 
       900 -> 97 -- Machine_8 (S: 0 , CT: 7291) 
       900 -> 98 -- Machine_9 (S: 0 , CT: 7078) 
       900 -> 32 -- Machine_10 (S: 0 , CT: 9196) 
       900 -> 54 -- Machine_11 (S: 0 , CT: 7827) 
       900 -> 71 -- Machine_12 (S: 0 , CT: 7519) 
       900 -> 77 -- Machine_13 (S: 0 , CT: 8784) 
       900 -> 37 -- Machine_14 (S: 0 , CT: 7283) 
       900 -> 94 -- Machine_15 (S: 0 , CT: 7890) 
       900 -> 15 -- Machine_16 (S: 0 , CT: 7729) 
       900 -> 38 -- Machine_17 (S: 0 , CT: 8116) 
       900 -> 14 -- Machine_18 (S: 0 , CT: 8751) 
       900 -> 10 -- Machine_19 (S: 0 , CT: 7630) 
       900 -> 17 -- Machine_20 (S: 0 , CT: 8351) 
       900 -> 23 -- Machine_21 (S: 0 , CT: 7614) 
       900 -> 75 -- Machine_22 (S: 0 , CT: 8370) 
       900 -> 8 -- Machine_23 (S: 0 , CT: 7968) 
       900 -> 74 -- Machine_24 (S: 0 , CT: 8492) 
GLOBALTIME -> ID  -- Machines Assigned
       960 -> 91 -- Machine_0 (S: 0 , CT: 8478) 
       960 -> 92 -- Machine_1 (S: 0 , CT: 8313) 
       960 -> 58 -- Machine_2 (S: 0 , CT: 7627) 
       960 -> 95 -- Machine_3 (S: 0 , CT: 8452) 
       960 -> 99 -- Machine_4 (S: 0 , CT: 7861) 
       960 -> 55 -- Machine_5 (S: 0 , CT: 8392) 
       960 -> 87 -- Machine_6 (S: 0 , CT: 7589) 
       960 -> 72 -- Machine_7 (S: 0 , CT: 8130) 
       960 -> 97 -- Machine_8 (S: 0 , CT: 7291) 
       960 -> 98 -- Machine_9 (S: 0 , CT: 7078) 
       960 -> 32 -- Machine_10 (S: 0 , CT: 9196) 
       960 -> 54 -- Machine_11 (S: 0 , CT: 7827) 
       960 -> 71 -- Machine_12 (S: 0 , CT: 7519) 
       960 -> 77 -- Machine_13 (S: 0 , CT: 8784) 
       960 -> 37 -- Machine_14 (S: 0 , CT: 7283) 
       960 -> 94 -- Machine_15 (S: 0 , CT: 7890) 
       960 -> 15 -- Machine_16 (S: 0 , CT: 7729) 
       960 -> 38 -- Machine_17 (S: 0 , CT: 8116) 
       960 -> 14 -- Machine_18 (S: 0 , CT: 8751) 
       960 -> 10 -- Machine_19 (S: 0 , CT: 7630) 
       960 -> 17 -- Machine_20 (S: 0 , CT: 8351) 
       960 -> 23 -- Machine_21 (S: 0 , CT: 7614) 
