GLOBALTIME -> ID  -- Machines Assigned
       780 -> 98 -- Machine_1 (S: 0 , CT: 8057) 
       780 -> 55 -- Machine_2 (S: 0 , CT: 7594) 
       780 -> 91 -- Machine_3 (S: 0 , CT: 8466) 
       780 -> 68 -- Machine_4 (S: 0 , CT: 8115) 
       780 -> 72 -- Machine_5 (S: 0 , CT: 9029) 
       780 -> 57 -- Machine_6 (S: 0 , CT: 7446) 
       780 -> 92 -- Machine_7 (S: 0 , CT: 8598) 
       780 -> 59 -- Machine_8 (S: 0 , CT: 7383) 
       780 -> 87 -- Machine_9 (S: 0 , CT: 7272) 
       780 -> 27 -- Machine_10 (S: 0 , CT: 8466) 
       780 -> 95 -- Machine_11 (S: 0 , CT: 8365) 
       780 -> 99 -- Machine_12 (S: 0 , CT: 7648) 
       780 -> 73 -- Machine_13 (S: 0 , CT: 8031) 
       780 -> 30 -- Machine_14 (S: 0 , CT: 7203) 
       780 -> 37 -- Machine_15 (S: 0 , CT: 8021) 
       780 -> 54 -- Machine_16 (S: 0 , CT: 7504) 
       780 -> 15 -- Machine_17 (S: 0 , CT: 8588) 
       780 -> 18 -- Machine_18 (S: 0 , CT: 8810) 
       780 -> 75 -- Machine_19 (S: 0 , CT: 7603) 
       780 -> 56 -- Machine_20 (S: 0 , CT: 8331) 
       780 -> 97 -- Machine_21 (S: 0 , CT: 8041) 
       780 -> 36 -- Machine_22 (S: 0 , CT: 7864) 
       780 -> 79 -- Machine_23 (S: 0 , CT: 7886) 
       780 -> 33 -- Machine_24 (S: 0 , CT: 8826) 
GLOBALTIME -> ID  -- Machines Assigned
       840 -> 58 -- Machine_0 (S: 0 , CT: 8498) 
       840 -> 98 -- Machine_1 (S: 0 , CT: 8057) 
       840 -> 55 -- Machine_2 (S: 0 , CT: 7594) 
       840 -> 91 -- Machine_3 (S: 0 , CT: 8466) 
       840 -> 68 -- Machine_4 (S: 0 , CT: 8115) 
       840 -> 72 -- Machine_5 (S: 0 , CT: 9029) 
       840 -> 57 -- Machine_6 (S: 0 , CT: 7446) 
       840 -> 92 -- Machine_7 (S: 0 , CT: 8598) 
       840 -> 59 -- Machine_8 (S: 0 , CT: 7383) 
       840 -> 87 -- Machine_9 (S: 0 , CT: 7272) 
       840 -> 27 -- Machine_10 (S: 0 , CT: 8466) 
       840 -> 95 -- Machine_11 (S: 0 , CT: 8365) 
       840 -> 99 -- Machine_12 (S: 0 , CT: 7648) 
       840 -> 73 -- Machine_13 (S: 0 , CT: 8031) 
       840 -> 30 -- Machine_14 (S: 0 , CT: 7203) 
       840 -> 37 -- Machine_15 (S: 0 , CT: 8021) 
       840 -> 54 -- Machine_16 (S: 0 , CT: 7504) 
       840 -> 15 -- Machine_17 (S: 0 , CT: 8588) 
       840 -> 18 -- Machine_18 (S: 0 , CT: 8810) 
       840 -> 75 -- Machine_19 (S: 0 , CT: 7603) 
       840 -> 56 -- Machine_20 (S: 0 , CT: 8331) 
       840 -> 97 -- Machine_21 (S: 0 , CT: 8041) 
       840 -> 36 -- Machine_22 (S: 0 , CT: 7864) 
       840 -> 79 -- Machine_23 (S: 0 , CT: 7886) 
       840 -> 33 -- Machine_24 (S: 0 , CT: 8826) 
GLOBALTIME -> ID  -- Machines Assigned
       900 -> 58 -- Machine_0 (S: 0 , CT: 8498) 
       900 -> 98 -- Machine_1 (S: 0 , CT: 8057) 
       900 -> 55 -- Machine_2 (S: 0 , CT: 7594) 
       900 -> 91 -- Machine_3 (S: 0 , CT: 8466) 
       900 -> 68 -- Machine_4 (S: 0 , CT: 8115) 
       900 -> 72 -- Machine_5 (S: 0 , CT: 9029) 
       900 -> 57 -- Machine_6 (S: 0 , CT: 7446) 
       900 -> 92 -- Machine_7 (S: 0 , CT: 8598) 
       900 -> 59 -- Machine_8 (S: 0 , CT: 7383) 
       900 -> 87 -- Machine_9 (S: 0 , CT: 7272) 
       900 -> 27 -- Machine_10 (S: 0 , CT: 8466) 
       900 -> 95 -- Machine_11 (S: 0 , CT: 8365) 
       900 -> 99 -- Machine_12 (S: 0 , CT: 7648) 
